0	2	50
0	2.5	50
0	3	50
0	3.5	50
0	4	50
0	4.5	50
0	5	50
0	5.5	50
0	6	50
0	6.5	50
0	7	50
0	7.5	50
0	8	50
0	8.5	50
0	9	50
0	9.5	50
0	10	50
0	10.5	50
0	11	50
0	11.5	50
0	12	50
40	2	50
40	2.5	50
40	3	50
40	3.5	50
40	4	50
40	4.5	50
40	5	50
40	5.5	50
40	6	50
40	6.5	50
40	7	50
40	7.5	50
40	8	50
40	8.5	50
40	9	50
40	9.5	50
40	10	50
40	10.5	50
40	11	50
40	11.5	50
40	12	50
80	2	50
80	2.5	50
80	3	50
80	3.5	50
80	4	50
80	4.5	50
80	5	50
80	5.5	50
80	6	50
80	6.5	50
80	7	50
80	7.5	50
80	8	50
80	8.5	50
80	9	50
80	9.5	50
80	10	50
80	10.5	50
80	11	50
80	11.5	50
80	12	50
120	2	50
120	2.5	50
120	3	50
120	3.5	50
120	4	50
120	4.5	50
120	5	50
120	5.5	50
120	6	50
120	6.5	50
120	7	50
120	7.5	50
120	8	50
120	8.5	50
120	9	50
120	9.5	50
120	10	50
120	10.5	50
120	11	50
120	11.5	50
120	12	50
160	2	50
160	2.5	50
160	3	50
160	3.5	50
160	4	50
160	4.5	50
160	5	50
160	5.5	50
160	6	50
160	6.5	50
160	7	50
160	7.5	50
160	8	50
160	8.5	50
160	9	50
160	9.5	50
160	10	50
160	10.5	50
160	11	50
160	11.5	50
160	12	50
200	2	50
200	2.5	50
200	3	50
200	3.5	50
200	4	50
200	4.5	50
200	5	50
200	5.5	50
200	6	50
200	6.5	50
200	7	50
200	7.5	50
200	8	50
200	8.5	50
200	9	50
200	9.5	50
200	10	50
200	10.5	50
200	11	50
200	11.5	50
200	12	50
240	2	50
240	2.5	50
240	3	50
240	3.5	50
240	4	50
240	4.5	50
240	5	50
240	5.5	50
240	6	50
240	6.5	50
240	7	50
240	7.5	50
240	8	50
240	8.5	50
240	9	50
240	9.5	50
240	10	50
240	10.5	50
240	11	50
240	11.5	50
240	12	50
280	2	50
280	2.5	50
280	3	50
280	3.5	50
280	4	50
280	4.5	50
280	5	50
280	5.5	50
280	6	50
280	6.5	50
280	7	50
280	7.5	50
280	8	50
280	8.5	50
280	9	50
280	9.5	50
280	10	50
280	10.5	50
280	11	50
280	11.5	50
280	12	50
320	2	50
320	2.5	50
320	3	50
320	3.5	50
320	4	50
320	4.5	50
320	5	50
320	5.5	50
320	6	50
320	6.5	50
320	7	50
320	7.5	50
320	8	50
320	8.5	50
320	9	50
320	9.5	50
320	10	50
320	10.5	50
320	11	50
320	11.5	50
320	12	50
